iter	Logloss
0	0.689099670811	0.685295259522	0.681552646833	0.6779526084
4	0.6745344647
5	0.670836066966	0.6676348957	7	0.6644351078	8	0.66105338399	0.6581771926110	0.6551109933111	0.6523752422112	0.6497106928113	0.6470852181414	0.6444441215	15	0.6418086516	16	0.6392975517	17	0.636942891818	0.6347980251919	0.6324392862020	0.630241003221	0.6281473791222	0.6259334097
23	0.6237059823
24	0.6217481295
25	0.6200346055
26	0.6182254689
27	0.6161685829
28	0.6143459804
29	0.6127244267
30	0.6108439457
31	0.6093586084
32	0.6078841923
33	0.606035095
34	0.6043595615
35	0.6026790281
36	0.6015224616
37	0.6002125546
38	0.5988346334
39	0.597472148
40	0.5962598856
41	0.5949756
42	0.5938405128
43	0.5928889958
44	0.5917019104
45	0.5903375856
46	0.5889241441
47	0.5879414892
48	0.5867974036
49	0.5858083886
50	0.5848396672
51	0.5836577833
52	0.5827402393
53	0.5818476412
54	0.5807686969
55	0.5799295019
56	0.5790584035
57	0.5781062464
58	0.5773478987
59	0.576511312
60	0.5757717283
61	0.5748809475
62	0.5740717969
63	0.5733872652
64	0.5725807918
65	0.5717197963
66	0.5711590889
67	0.5703602956
68	0.5695323669
69	0.5689401459
70	0.5682061694
71	0.5675673948
72	0.5668338949
73	0.5661713764
74	0.5653957275
75	0.5649265312
76	0.5643065394
77	0.5638046201
78	0.5632438008
79	0.5626848459
80	0.5622771884
81	0.562005782	082	0.561413883	83	0.5607506394
84	0.5602437079
85	0.5596085886	86	0.5590823987	87	0.5586846188	88	0.5583155989	89	0.5578508090	90	0.5573459591	91	0.5568902592	92	0.5564747593	93	0.5561266594	94	0.5555478095	95	0.555043539696	0.5544328497	97	0.5541363998	98	0.5537854299	99	0.55348460100100	0.5530271101	101	0.5524284102	102	0.5521553072
